source_text,translation_text
故障：,
帮助,
取消,
报警编号：,
报警信息,
合并显示,
清除历史报警,
参数日志,
动作,
事件,
日期时间,
动作日志,
保养信息,
编辑,
重新计时,
新建,
删除,
开发者选项,
报警编号,
报警内容,
报警时间,
确定清除报警？,
维护内容,
维护周期,
剩余天数,
下次保养时间,
报警内容：,
报警原因：,
解决方案：,
主程序,
子程序1,
子程序2,
子程序3,
子程序4,
子程序5,
子程序6,
子程序7,
子程序8,
跟随,
智能力矩,
试行,
操作,
允许调速,
清零,
1自动状态,
全局速度：,
历史信息,
前拍周期：,
自动运行：,
成型周期：,
当前步号：,
计划产品：,
取物时间：,
实际产品：,
当前工位：,
主程序第4步,
断点位置：,
起始步号：,
子程序7步号：,
子程序5步号：,
子程序6步号：,
主程序步号：,
子程序2步号：,
子程序1步号：,
子程序3步号：,
子程序4步号：,
子程序8步号：,
保存,
当前动作无参数可修改,
位置(+/- 5mm),
速度(%),
延时(s),
通时(s),
限时(s),
条件1,
条件2,
操作数,
轴位置,
X1轴,
Y1轴,
Z1轴,
C轴,
Y2轴,
Z2轴,
A轴,
B轴,
循环次数,
力距保护(%),
编号,
内容,
全局速度:,
堆叠组号,
X1轴个数,
Y1轴个数,
Z1轴个数,
堆叠完停止,
变量,
堆叠状态,
不使用,
使用,
堆叠指定,
从此运行,
断点设置,
断点清除,
参考点编辑,
自动修正位置,
最后一步不允许设为断点！,
2变量状态,
3堆叠状态,
4当前步号,
堆叠,
步号,
参考点,
输入值的范围不能超过-5.00～5.00,请重新输入。,
运行,
停止,
暂停,
后台程序,
计算器,
清零选择,
产品清零,
变量全部清零,
堆叠全部清零,
堆叠1组,
堆叠2组,
堆叠3组,
堆叠4组,
堆叠5组,
堆叠6组,
堆叠7组,
堆叠8组,
旋转料仓,
料仓工位：,
堆叠1组：,
堆叠2组：,
料仓工位数指定,
料仓初始位,
料仓保持原位,
启动自动时变量清零,
变量5,
变量3,
变量6,
变量7,
变量2,
变量1,
变量4,
变量8,
变量断电记忆,
确定,
提示,
手轮轴选择,
B/Z2轴,
A/Y2轴,
手轮刻度,
手轮模式,
手轮,
主板,
通,
信号,
输入,
输出,
实际产量,
常量,
堆叠完成,
位置,
位置表达式,
轴,
定时器,
定时器表达式,
定时器1,
定时器2,
定时器3,
定时器4,
定时器5,
定时器6,
定时器7,
定时器8,
阀输出,
阀动作,
卡爪,
原料1夹紧/松开,
成品1夹紧/松开,
原料2夹紧/松开,
成品2夹紧/松开,
卡爪1正转/反转,
卡爪2正转/反转,
反转台1正转/反转,
反转台2夹紧/松开,
机床控制,
自动门1开/关,
自动门2开/关,
卡盘/吹屑,
卡盘1夹紧/松开,
卡盘2夹紧/松开,
吹气1,
吹气2,
输出状态,
断,
翻转,
预留,
主板输出,
伺服,
轴运动方向,
正向,
反向,
密码:,
操作员,
管理员,
高级,
密码错误！,
设置,
监视,
报警/日志,
教导管理,
手动页面,
初始化进度：,
速度：,
转速：,
展晖机床机械手控制系统,
教导,
停止页面,
参数同步中:,
自动页面,
