source_text,translation_text
故障：,Fault:
帮助,Help
取消,Cancel
报警编号：,Alarm No.:
报警信息,Alarm Information
合并显示,Merge Display
清除历史报警,Clear History Alarms
参数日志,Parameter Log
动作,Action
事件,Event
日期时间,Date/Time
动作日志,Action Log
保养信息,Maintenance Information
编辑,Edit
重新计时,Reset Timer
新建,New
删除,Delete
开发者选项,Developer Options
报警编号,Number
报警内容,Alarm Content
报警时间,Alarm Time
确定清除报警？,Confirm Clear Alarm?
维护内容,Maintenance Content
维护周期,Maintenance Cycle
剩余天数,Remaining Days
下次保养时间,Next Maintenance Time
报警内容：,Content:
报警原因：,Reason:
解决方案：,Solution:
主程序,Main Program
子程序1,Subprogram 1
子程序2,Subprogram 2
子程序3,Subprogram 3
子程序4,Subprogram 4
子程序5,Subprogram 5
子程序6,Subprogram 6
子程序7,Subprogram 7
子程序8,Subprogram 8
跟随,Follow
智能力矩,Smart Torque
试行,Trial Run
操作,Operate
允许调速,Allow Speed Adjust
清零,Reset
1自动状态,1 Auto Status
全局速度：,Global Speed:
历史信息,History Info
前拍周期：,Pre-Cycle:
自动运行：,Auto Run:
成型周期：,Molding Cycle:
当前步号：,Current Step No.:
计划产品：,Planned Product:
取物时间：,Pickup Time:
实际产品：,Actual Product:
当前工位：,Current Station:
主程序第4步,Main Program Step 4
断点位置：,Breakpoint Position:
起始步号：,Start Step No.:
子程序7步号：,Subprogram 7 Step No.:
子程序5步号：,Subprogram 5 Step No.:
子程序6步号：,Subprogram 6 Step No.:
主程序步号：,Main Program Step No.:
子程序2步号：,Subprogram 2 Step No.:
子程序1步号：,Subprogram 1 Step No.:
子程序3步号：,Subprogram 3 Step No.:
子程序4步号：,Subprogram 4 Step No.:
子程序8步号：,Subprogram 8 Step No.:
保存,Save
当前动作无参数可修改,No Parameters to Modify for Current Action
位置(+/- 5mm),Position(+/- 5mm)
速度(%),Speed(%)
延时(s),Delay(s)
通时(s),On-Time(s)
限时(s),Time Limit(s)
条件1,Condition 1
条件2,Condition 2
操作数,Operand
轴位置,Axis Position
X1轴,X1 Axis
Y1轴,Y1 Axis
Z1轴,Z1 Axis
C轴,C Axis
Y2轴,Y2 Axis
Z2轴,Z2 Axis
A轴,A Axis
B轴,B Axis
循环次数,Cycle Count
力距保护(%),Torque Protection(%)
编号,Number
内容,Content
全局速度:,Global Speed:
堆叠组号,Stack Group No.
X1轴个数,X1 Axis Count
Y1轴个数,Y1 Axis Count
Z1轴个数,Z1 Axis Count
堆叠完停止,Stop After Stacking
变量,Variable
堆叠状态,Stacking Status
不使用,Not Used
使用,Used
堆叠指定,Stack Assignment
从此运行,Run From Here
断点设置,Breakpoint Setting
断点清除,Breakpoint Clear
参考点编辑,Reference Point Edit
自动修正位置,Auto-Adjust Position
最后一步不允许设为断点！,Last Step Cannot Be Set as Breakpoint!
2变量状态,2 Variable Status
3堆叠状态,3 Stacking Status
4当前步号,4 Current Step No.
堆叠,Stacking
步号,Step No.
参考点,Reference Point
输入值的范围不能超过-5.00～5.00,请重新输入。,Input value must be within -5.00 to 5.00. Please re-enter.
运行,Run
停止,Stop
暂停,Pause
后台程序,Background Program
计算器,Calculator
清零选择,Reset Selection
产品清零,Product Reset
变量全部清零,Reset All Variables
堆叠全部清零,Reset All Stacks
堆叠1组,Stack 1
堆叠2组,Stack 2
堆叠3组,Stack 3
堆叠4组,Stack 4
堆叠5组,Stack 5
堆叠6组,Stack 6
堆叠7组,Stack 7
堆叠8组,Stack 8
旋转料仓,Rotary Magazine
料仓工位：,Magazine Station:
堆叠1组：,Stack 1:
堆叠2组：,Stack 2:
料仓工位数指定,Magazine Station Number Assignment
料仓初始位,Magazine Initial Position
料仓保持原位,Magazine Stay in Position
启动自动时变量清零,Reset Variables on Auto Start
变量5,Variable 5
变量3,Variable 3
变量6,Variable 6
变量7,Variable 7
变量2,Variable 2
变量1,Variable 1
变量4,Variable 4
变量8,Variable 8
变量断电记忆,Variable Power-Off Memory
确定,Confirm
提示,Prompt
手轮轴选择,Handwheel Axis Selection
B/Z2轴,B/Z2 Axis
A/Y2轴,A/Y2 Axis
手轮刻度,Handwheel Scale
手轮模式,Handwheel Mode
手轮,Handwheel
主板,Mainboard
通,On
信号,Signal
输入,Input
输出,Output
实际产量,Actual Output
常量,Constant
堆叠完成,Stacking Completed
位置,Position
位置表达式,Position Expression
轴,Axis
定时器,Timer
定时器表达式,Timer Expression
定时器1,Timer 1
定时器2,Timer 2
定时器3,Timer 3
定时器4,Timer 4
定时器5,Timer 5
定时器6,Timer 6
定时器7,Timer 7
定时器8,Timer 8
阀输出,Valve Output
阀动作,Valve Action
卡爪,Gripper
原料1夹紧/松开,Raw Material 1 Clamp/Release
成品1夹紧/松开,Product 1 Clamp/Release
原料2夹紧/松开,Raw Material 2 Clamp/Release
成品2夹紧/松开,Product 2 Clamp/Release
卡爪1正转/反转,Gripper 1 CW/CCW
卡爪2正转/反转,Gripper 2 CW/CCW
反转台1正转/反转,Reversing Table 1 CW/CCW
反转台2夹紧/松开,Reversing Table 2 Clamp/Release
机床控制,CNC Control
自动门1开/关,Auto Door 1 Open/Close
自动门2开/关,Auto Door 2 Open/Close
卡盘/吹屑,Chuck/Blow Chips
卡盘1夹紧/松开,Chuck 1 Clamp/Release
卡盘2夹紧/松开,Chuck 2 Clamp/Release
吹气1,Air Blow 1
吹气2,Air Blow 2
输出状态,Output Status
断,Off
翻转,Flip
预留,Reserved
主板输出,Mainboard Output
伺服,Servo
轴运动方向,Axis Movement Direction
正向,Forward
反向,Reverse
密码:,Passwd:
操作员,Operator
管理员,Admin
高级,Senior
密码错误！,Incorrect Passwd!
设置,Settings
监视,Monitor
报警/日志,Alarms/Logs
教导管理,Teach Manage
手动页面,Manual Page
初始化进度：,Initialization Progress:
速度：,Speed:
转速：,RPM:
展晖机床机械手控制系统,Zhanhui CNC Manipulator Control System
教导,Teach
停止页面,Stop Page
参数同步中:,Parameter Syncing:
自动页面,Auto Page
请先解决报警再启动！,Resolve Alarms Before Starting!
请将三档开关切换到自动档再启动,Switch to Auto Mode Before Starting
机器未复位,Machine Not Reset
机器未回零,Machine Not Homed
请先解决报警再回原！,Resolve Alarms Before Homing!
是否现在回原点？,Home Now?
请先解决报警再复位！,Resolve Alarms Before Resetting!
是否现在复归？,Reset Now?
请先将三档开关切换到自动档,Switch to Auto Mode First
请先回原点,Home First
参数同步失败!失败编号：,Parameter Sync Failed! Error Code:
程式：,Program:
教导参数有修改，是否需要保存？,Save Changes to Teach Parameters?
回原点中...,Homing...
复位中...,Resetting...
操作指引,Operate Guide
编辑位置,Edit Position
导入图片,Import Image
新增,Add
轴动作,Axis Action
手动,Manual
位置+,Position+
速度,Speed
轴选择,Axis Select
禁止,Disabled
位置-,Position-
调机,Commissioning
调机功能,Commissioning Function
手动智能力矩,Manual Smart Torque
编码器脉冲,Encoder Pulse
每转距离,Distance per Revolution
当前轴,Current Axis
内部脉冲,Internal Pulse
正转,Clockwise
反转,Counter-Clockwise
无信号Z轴允许下降,Z Axis Allowed to Descend Without Signal
卡爪/机床,Gripper/Machine
控制旋转1断,Control Rotation 1 Off
启动加工1断,Start Machining 1 Off
自动门1关,Auto Door 1 Close
主轴定位1断,Spindle Positioning 1 Off
机床控制使能,Machine Control Enable
卡盘1松开,Chuck 1 Release
吹气1断,Air Blow 1 Off
成品1松开,Product 1 Release
卡爪1反转,Gripper 1 CCW
