source_text,translation_text
故障：,고장:
帮助,도움말
取消,취소
报警编号：,알람 번호:
报警信息,알람 정보
合并显示,병합 표시
清除历史报警,이전 알람 지우기
参数日志,파라미터 로그
动作,동작
事件,이벤트
日期时间,날짜 시간
动作日志,동작 로그
保养信息,유지보수 정보
编辑,편집
重新计时,다시 카운트다운
新建,새로 만들기
删除,삭제
开发者选项,개발자 옵션
报警编号,알람 번호
报警内容,알람 내용
报警时间,알람 시간
确定清除报警？,알람을 지우겠습니까?
维护内容,유지보수 내용
维护周期,유지보수 주기
剩余天数,남은 일수
下次保养时间,다음 유지보수 시간
报警内容：,알람 내용:
报警原因：,알람 원인:
解决方案：,해결 방법:
主程序,메인 프로그램
子程序1,서브 프로그램 1
子程序2,서브 프로그램 2
子程序3,서브 프로그램 3
子程序4,서브 프로그램 4
子程序5,서브 프로그램 5
子程序6,서브 프로그램 6
子程序7,서브 프로그램 7
子程序8,서브 프로그램 8
跟随,따라가기
智能力矩,스마트 토크
试行,시험 실행
操作,조작
允许调速,속도 조정 허용
清零,리셋
1自动状态,자동 상태 1
全局速度：,전역 속도:
历史信息,역사 정보
前拍周期：,앞 촬영 주기:
自动运行：,자동 실행:
成型周期：,성형 주기:
当前步号：,현재 단계 번호:
计划产品：,계획 제품:
取物时间：,물건 가져오는 시간:
实际产品：,실제 제품:
当前工位：,현재 작업 위치:
主程序第4步,메인 프로그램 4단계
断点位置：,중단점 위치:
起始步号：,시작 단계 번호:
子程序7步号：,서브 프로그램 7 단계 번호:
子程序5步号：,서브 프로그램 5 단계 번호:
子程序6步号：,서브 프로그램 6 단계 번호:
主程序步号：,메인 프로그램 단계 번호:
子程序2步号：,서브 프로그램 2 단계 번호:
子程序1步号：,서브 프로그램 1 단계 번호:
子程序3步号：,서브 프로그램 3 단계 번호:
子程序4步号：,서브 프로그램 4 단계 번호:
子程序8步号：,서브 프로그램 8 단계 번호:
保存,저장
当前动作无参数可修改,현재 동작에는 수정할 수 있는 매개변수가 없습니다.
位置(+/- 5mm),위치 (+/- 5mm)
速度(%),속도 (%)
延时(s),지연 (s)
通时(s),통과 시간 (s)
限时(s),제한 시간 (s)
条件1,조건 1
条件2,조건 2
操作数,연산자
轴位置,축 위치
X1轴,X1축
Y1轴,Y1축
Z1轴,Z1축
C轴,C축
Y2轴,Y2축
Z2轴,Z2축
A轴,A축
B轴,B축
循环次数,반복 횟수
力距保护(%),토크 보호 (%)
编号,번호
内容,내용
全局速度:,전역 속도:
堆叠组号,스택 그룹 번호
X1轴个数,X1축 개수
Y1轴个数,Y1축 개수
Z1轴个数,Z1축 개수
堆叠完停止,스택 완료 후 중지
变量,변수
堆叠状态,스택 상태
不使用,사용하지 않음
使用,사용
堆叠指定,스택 지정
从此运行,여기서 실행
断点设置,중단점 설정
断点清除,중단점 해제
参考点编辑,참조 포인트 편집
自动修正位置,자동으로 위치 수정
最后一步不允许设为断点！,마지막 단계는 중단점으로 설정할 수 없습니다!
2变量状态,2 변수 상태
3堆叠状态,3 스택 상태
4当前步号,4 현재 단계 번호
堆叠,스택
步号,단계 번호
参考点,참조 포인트
输入值的范围不能超过-5.00～5.00,请重新输入。,입력 값의 범위는 -5.00 ~ 5.00을 초과할 수 없습니다. 다시 입력하십시오.
运行,실행
停止,중지
暂停,일시 중지
后台程序,백그라운드 프로그램
计算器,계산기
清零选择,리셋 선택
产品清零,제품 리셋
变量全部清零,모든 변수 리셋
堆叠全部清零,모든 스택 리셋
堆叠1组,스택 그룹 1
堆叠2组,스택 그룹 2
堆叠3组,스택 그룹 3
堆叠4组,스택 그룹 4
堆叠5组,스택 그룹 5
堆叠6组,스택 그룹 6
堆叠7组,스택 그룹 7
堆叠8组,스택 그룹 8
旋转料仓,회전 재고창
料仓工位：,재고창 위치:
堆叠1组：,스택 그룹 1:
堆叠2组：,스택 그룹 2:
料仓工位数指定,재고창 위치 수 지정
料仓初始位,재고창 초기 위치
料仓保持原位,재고창 원래 위치 유지
启动自动时变量清零,자동 시작 시 변수 리셋
变量5,변수 5
变量3,변수 3
变量6,변수 6
变量7,변수 7
变量2,변수 2
变量1,변수 1
变量4,변수 4
变量8,변수 8
变量断电记忆,변수 전원 끄기 기억
确定,확인
提示,안내
手轮轴选择,핸드휠 축 선택
B/Z2轴,B/Z2축
A/Y2轴,A/Y2축
手轮刻度,핸드휠 눈금
手轮模式,핸드휠 모드
手轮,핸드휠
主板,메인 보드
通,통함
信号,신호
输入,입력
输出,출력
实际产量,실제 생산량
常量,상수
堆叠完成,스택 완료
位置,위치
位置表达式,위치 표현식
轴,축
定时器,타이머
定时器表达式,타이머 표현식
定时器1,타이머 1
定时器2,타이머 2
定时器3,타이머 3
定时器4,타이머 4
定时器5,타이머 5
定时器6,타이머 6
定时器7,타이머 7
定时器8,타이머 8
阀输出,밸브 출력
阀动作,밸브 동작
卡爪,집게
原料1夹紧/松开,원료 1 클램핑 / 해제
成品1夹紧/松开,완성품 1 클램핑 / 해제
原料2夹紧/松开,원료 2 클램핑 / 해제
成品2夹紧/松开,완성품 2 클램핑 / 해제
卡爪1正转/反转,집게 1 정회전 / 역회전
卡爪2正转/反转,집게 2 정회전 / 역회전
反转台1正转/反转,회전대 1 정회전 / 역회전
反转台2夹紧/松开,회전대 2 클램핑 / 해제
机床控制,기계 제어
自动门1开/关,자동 문 1 열기 / 닫기
自动门2开/关,자동 문 2 열기 / 닫기
卡盘/吹屑,척 / 칩 분사
卡盘1夹紧/松开,척 1 클램핑 / 해제
卡盘2夹紧/松开,척 2 클램핑 / 해제
吹气1,바람 1
吹气2,바람 2
输出状态,출력 상태
断,끊김
翻转,뒤집기
预留,예약
主板输出,메인 보드 출력
伺服,서보
轴运动方向,축 이동 방향
正向,정방향
反向,역방향
密码:,비밀번호:
操作员,운영자
管理员,관리자
高级,고급
密码错误！,비밀번호 오류!
设置,설정
监视,모니터링
报警/日志,알람/로그
教导管理,교육 관리
手动页面,수동 페이지
初始化进度：,초기화 진행 상황:
速度：,속도:
转速：,회전 속도:
展晖机床机械手控制系统,전휘 기계 로봇 제어 시스템
教导,가르치기
停止页面,중지 페이지
参数同步中:,매개변수 동기화 중:
自动页面,자동 페이지
请先解决报警再启动！,알람을 먼저 해결한 후 시작하세요!
请将三档开关切换到自动档再启动,세 가지 스위치를 자동으로 전환한 후 시작하세요.
机器未复位,기계가 리셋되지 않음
机器未回零,기계가 원점으로 돌아가지 않음
请先解决报警再回原！,알람을 먼저 해결한 후 원점으로 돌아가세요!
是否现在回原点？,지금 원점으로 돌아갈까요?
请先解决报警再复位！,알람을 먼저 해결한 후 리셋하세요!
是否现在复归？,지금 복귀할까요?
请先将三档开关切换到自动档,세 가지 스위치를 먼저 자동으로 전환하세요
请先回原点,먼저 원점으로 돌아가세요
参数同步失败!失败编号：,매개변수 동기화 실패! 실패 번호:
